# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: /home/aluno/Documentos/relogio_single/relogio.csv
# Generated on: Fri Jun  7 08:51:34 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk50MHz,Unknown,PIN_Y2,2,B2_N0,,,,,
rst_in,Unknown,PIN_AB28,5,B5_N1,,,,,
ssd_D_csec[0],Unknown,PIN_V21,5,B5_N1,,,,,
ssd_D_csec[1],Unknown,PIN_U21,5,B5_N0,,,,,
ssd_D_csec[2],Unknown,PIN_AB20,4,B4_N0,,,,,
ssd_D_csec[3],Unknown,PIN_AA21,4,B4_N0,,,,,
ssd_D_csec[4],Unknown,PIN_AD24,4,B4_N0,,,,,
ssd_D_csec[5],Unknown,PIN_AF23,4,B4_N0,,,,,
ssd_D_csec[6],Unknown,PIN_Y19,4,B4_N0,,,,,
ssd_U_csec[0],Unknown,PIN_AA25,5,B5_N1,,,,,
ssd_U_csec[1],Unknown,PIN_AA26,5,B5_N1,,,,,
ssd_U_csec[2],Unknown,PIN_Y25,5,B5_N1,,,,,
ssd_U_csec[3],Unknown,PIN_W26,5,B5_N1,,,,,
ssd_U_csec[4],Unknown,PIN_Y26,5,B5_N1,,,,,
ssd_U_csec[5],Unknown,PIN_W27,5,B5_N1,,,,,
ssd_U_csec[6],Unknown,PIN_W28,5,B5_N1,,,,,
ssd_D_sec[0],Unknown,PIN_AD18,4,B4_N1,,,,,
ssd_D_sec[1],Unknown,PIN_AC18,4,B4_N1,,,,,
ssd_D_sec[2],Unknown,PIN_AB18,4,B4_N0,,,,,
ssd_D_sec[3],Unknown,PIN_AH19,4,B4_N2,,,,,
ssd_D_sec[4],Unknown,PIN_AG19,4,B4_N2,,,,,
ssd_D_sec[5],Unknown,PIN_AF18,4,B4_N1,,,,,
ssd_D_sec[6],Unknown,PIN_AH18,4,B4_N2,,,,,
ssd_U_sec[0],Unknown,PIN_AB19,4,B4_N0,,,,,
ssd_U_sec[1],Unknown,PIN_AA19,4,B4_N0,,,,,
ssd_U_sec[2],Unknown,PIN_AG21,4,B4_N2,,,,,
ssd_U_sec[3],Unknown,PIN_AH21,4,B4_N2,,,,,
ssd_U_sec[4],Unknown,PIN_AE19,4,B4_N1,,,,,
ssd_U_sec[5],Unknown,PIN_AF19,4,B4_N1,,,,,
ssd_U_sec[6],Unknown,PIN_AE18,4,B4_N2,,,,,
ssd_D_min[0],Unknown,PIN_AD17,4,B4_N2,,,,,
ssd_D_min[1],Unknown,PIN_AE17,4,B4_N2,,,,,
ssd_D_min[2],Unknown,PIN_AG17,4,B4_N2,,,,,
ssd_D_min[3],Unknown,PIN_AH17,4,B4_N2,,,,,
ssd_D_min[4],Unknown,PIN_AF17,4,B4_N2,,,,,
ssd_D_min[5],Unknown,PIN_AG18,4,B4_N2,,,,,
ssd_D_min[6],Unknown,PIN_AA14,3,B3_N0,,,,,
ssd_U_min[0],Unknown,PIN_AA17,4,B4_N1,,,,,
ssd_U_min[1],Unknown,PIN_AB16,4,B4_N2,,,,,
ssd_U_min[2],Unknown,PIN_AA16,4,B4_N2,,,,,
ssd_U_min[3],Unknown,PIN_AB17,4,B4_N1,,,,,
ssd_U_min[4],Unknown,PIN_AB15,4,B4_N2,,,,,
ssd_U_min[5],Unknown,PIN_AA15,4,B4_N2,,,,,
ssd_U_min[6],Unknown,PIN_AC17,4,B4_N2,,,,,
ctrl[1],Unknown,PIN_Y23,5,B5_N2,,,,,
ctrl[0],Unknown,PIN_Y24,5,B5_N2,,,,,
